rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2015),rank change from 2015,type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,fulltime teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
84,Parsippany High School,12-Sep,943,10.4,21.60%,63.6,48,-36,Public,309 Baldwin Rd,Parsippany,7054,Morris,Parsippany-Troy Hills Township School District,No,(n/a),No,Yes,(973) 263-7001,90,464 (49.2 %),46 (4.9 %),109 (11.6 %),308 (32.7 %),0 (0.0 %),0 (0.0 %),16 (1.7 %)
85,Rutherford High School,12-Sep,750,11.1,3.60%,63.6,173,88,Public,56 Elliott Pl,Rutherford,7070,Bergen,Rutherford School District,No,(n/a),No,No,(201) 438-7675,67,445 (59.3 %),24 (3.2 %),134 (17.9 %),135 (18.0 %),1 (0.1 %),1 (0.1 %),10 (1.3 %)
86,Liberty High School,12-Sep,195,8.8,67.20%,63.1,165,79,Public,299 Sip Avenue,Jersey City,7306,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 714-4373,22,28 (14.4 %),54 (27.7 %),82 (42.1 %),29 (14.9 %),0 (0.0 %),2 (1.0 %),0 (0.0 %)
87,West Windsor-Plainsboro High School North,12-Sep,"1,414",11.9,6.80%,63.1,65,-22,Public,90 Grovers Mill Road,Plainsboro,8536,Middlesex,West Windsor-Plainsboro Regional School District,No,(n/a),No,Yes,(609) 716-5100,118,416 (29.4 %),115 (8.1 %),56 (4.0 %),820 (58.0 %),0 (0.0 %),1 (0.1 %),6 (0.4 %)
88,Vernon Township High School,12-Sep,"1,027",11.2,16.20%,62.9,98,10,Public,1832 Route 565,Vernon,7462,Sussex,Vernon Township School District,No,(n/a),No,No,(973) 764-2960,91,906 (88.2 %),24 (2.3 %),83 (8.1 %),5 (0.5 %),0 (0.0 %),1 (0.1 %),8 (0.8 %)
89,Princeton High School,12-Sep,"1,578",12.5,8.80%,62.7,46,-43,Public,151 Moore Street,Princeton,8540,Mercer,Princeton Public Schools,No,(n/a),No,No,(609) 806-4280,126,951 (60.3 %),85 (5.4 %),134 (8.5 %),347 (22.0 %),3 (0.2 %),0 (0.0 %),58 (3.7 %)
90,West Windsor-Plainsboro High School South,12-Sep,"1,591",14.4,5.30%,62.2,54,-36,Public,346 Clarksville Road,West Windsor,8550,Mercer,West Windsor-Plainsboro Regional School District,No,(n/a),No,No,(609) 716-5050,110,468 (29.4 %),81 (5.1 %),84 (5.3 %),941 (59.1 %),0 (0.0 %),1 (0.1 %),16 (1.0 %)
91,Madison High School,12-Sep,849,12.8,5.40%,62.2,88,-3,Public,170 Ridgedale Avenue,Madison,7940,Morris,Madison Public School District,No,(n/a),No,Yes,(973) 593-3117,66,678 (79.9 %),21 (2.5 %),79 (9.3 %),62 (7.3 %),1 (0.1 %),0 (0.0 %),8 (0.9 %)
92,Paramus High School,12-Sep,"1,307",12.3,7.30%,62.2,75,-17,Public,99 East Century Rd,Paramus,7652,Bergen,Paramus Public School District,No,(n/a),No,Yes,(201) 261-7800,106,792 (60.6 %),23 (1.8 %),138 (10.6 %),351 (26.9 %),0 (0.0 %),0 (0.0 %),3 (0.2 %)
93,New Providence High School,12-Sep,677,11.6,3.60%,61.9,70,-23,Public,35 Pioneer Dr,New Providence,7974,Union,New Providence Board Of Education,No,(n/a),No,No,(908) 464-4700,58,518 (76.5 %),13 (1.9 %),48 (7.1 %),95 (14.0 %),1 (0.1 %),2 (0.3 %),0 (0.0 %)
94,Randolph High School,12-Sep,"1,621",11.7,7.60%,61.8,61,-33,Public,511 Millbrook Avenue,Randolph,7869,Morris,Randolph Township School District,No,(n/a),No,No,(973) 361-2400,138,1250 (77.1 %),40 (2.5 %),185 (11.4 %),136 (8.4 %),1 (0.1 %),7 (0.4 %),2 (0.1 %)
95,Butler High School,12-Sep,500,11.3,18.20%,61.6,164,69,Public,38 Bartholdi Avenue,Butler,7405,Morris,Butler Public School District,No,(n/a),No,Yes,(973) 492-2000,44,425 (85.0 %),5 (1.0 %),62 (12.4 %),7 (1.4 %),0 (0.0 %),1 (0.2 %),0 (0.0 %)
96,Lyndhurst High School,12-Sep,737,11.8,17.50%,61.3,114,18,Public,400 Weart Avenue,Lyndhurst,7071,Bergen,Lyndhurst School District,No,(n/a),No,No,(201) 896-2100,62,460 (62.4 %),18 (2.4 %),229 (31.1 %),23 (3.1 %),0 (0.0 %),2 (0.3 %),5 (0.7 %)
97,Scotch Plains-Fanwood High School,12-Sep,"1,567",13.8,7.30%,61,82,-15,Public,667 Westfield Road,Scotch Plains,7076,Union,Scotch Plains-Fanwood School District,No,(n/a),No,No,(908) 889-8600,113,1124 (71.7 %),163 (10.4 %),146 (9.3 %),92 (5.9 %),3 (0.2 %),3 (0.2 %),36 (2.3 %)
98,Elizabeth High School,12-Sep,844,16.2,73.00%,60.9,149,51,Public,40 Morrell Street,Elizabeth,7201,Union,Elizabeth Public Schools,No,(n/a),No,Yes,(908) 436-5860,52,103 (12.2 %),86 (10.2 %),611 (72.4 %),44 (5.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
99,Performing Arts Academy Of The Ocean County Vocational Technical,12-Sep,266,44.3,0.00%,60.8,273,174,Public,Route 547,Lakehurst,8733,Ocean,Ocean County Vocational Technical School School District,No,(n/a),No,No,(732) 286-5678,6,216 (81.2 %),12 (4.5 %),31 (11.7 %),4 (1.5 %),1 (0.4 %),1 (0.4 %),1 (0.4 %)
100,Governor Livingston High School,12-Sep,"1,033",11.6,2.80%,60.5,95,-5,Public,175 Watchung Boulevard,Berkeley Heights,7922,Union,Berkeley Heights School District,No,(n/a),No,No,(908) 464-3100,89,784 (75.9 %),8 (0.8 %),121 (11.7 %),85 (8.2 %),0 (0.0 %),1 (0.1 %),34 (3.3 %)
101,West Essex High School,12-Sep,"1,113",12,3.20%,60.5,160,59,Public,65 West Greenbrook Rd,North Caldwell,7006,Essex,West Essex Regional School District,No,(n/a),No,Yes,(973) 228-1200,92,960 (86.3 %),18 (1.6 %),78 (7.0 %),43 (3.9 %),0 (0.0 %),0 (0.0 %),14 (1.3 %)
102,Metuchen High School,12-Sep,654,11.8,8.30%,60.5,116,14,Public,400 Grove Ave,Metuchen,8840,Middlesex,Metuchen Public School District,No,(n/a),No,Yes,(732) 321-8744,55,439 (67.1 %),36 (5.5 %),63 (9.6 %),112 (17.1 %),0 (0.0 %),0 (0.0 %),4 (0.6 %)
103,Red Bank Regional High School,12-Sep,"1,211",10.8,25.40%,60.3,104,1,Public,101 Ridge Road,Little Silver,7739,Monmouth,Red Bank Regional School District,No,(n/a),No,Yes,(732) 842-8000,112,733 (60.5 %),97 (8.0 %),324 (26.8 %),29 (2.4 %),0 (0.0 %),1 (0.1 %),27 (2.2 %)
104,Bernards High School,12-Sep,844,12,12.30%,60.2,64,-40,Public,25 Olcott Avenue,Bernardsville,7924,Somerset,Somerset Hills Regional School District,No,(n/a),No,Yes,(908) 630-3000,70,637 (75.5 %),10 (1.2 %),130 (15.4 %),63 (7.5 %),0 (0.0 %),0 (0.0 %),4 (0.5 %)
105,Allentown High School,12-Sep,"1,291",13.5,11.20%,59.8,111,6,Public,27 High Street,Allentown,8501,Monmouth,Upper Freehold Regional School District,No,(n/a),No,Yes,(609) 259-7292,95,1062 (82.3 %),84 (6.5 %),72 (5.6 %),47 (3.6 %),1 (0.1 %),0 (0.0 %),25 (1.9 %)
106,North Warren Regional School,12-Jul,890,10.9,8.10%,59.8,155,49,Public,10 Noe Rd,Blairstown,7825,Warren,North Warren Regional School District,No,(n/a),No,Yes,(908) 362-8211,81,804 (90.3 %),19 (2.1 %),44 (4.9 %),14 (1.6 %),1 (0.1 %),1 (0.1 %),7 (0.8 %)
107,Westwood Junionr/Senior High School,12-Aug,"1,091",11.3,8.80%,59.7,42,-65,Public,701 Ridgewood Road,Township Of Washington,7676,Bergen,Westwood Regional School District,No,(n/a),No,No,(201) 664-0880,96,845 (77.5 %),39 (3.6 %),131 (12.0 %),69 (6.3 %),0 (0.0 %),0 (0.0 %),7 (0.6 %)
108,Ridgefield Memorial High School,12-Sep,545,9.7,26.10%,59.5,153,45,Public,555 Walnut St,Ridgefield,7657,Bergen,Ridgefield School District,No,(n/a),No,Yes,(201) 945-4455,56,204 (37.4 %),16 (2.9 %),161 (29.5 %),161 (29.5 %),1 (0.2 %),1 (0.2 %),1 (0.2 %)
109,Verona High School,12-Sep,615,13.6,1.10%,59.3,105,-4,Public,151 Fairview Ave,Verona,7044,Essex,Verona Public School District,No,(n/a),No,No,(973) 571-6750,45,516 (83.9 %),22 (3.6 %),43 (7.0 %),27 (4.4 %),2 (0.3 %),2 (0.3 %),3 (0.5 %)
110,Robbinsville High School,12-Sep,959,14.1,5.10%,59.3,90,-20,Public,155 Robbinsville Edinburg Rd,Robbinsville,8691,Mercer,Robbinsville Public Schools,No,(n/a),No,No,(609) 632-0950,68,709 (73.9 %),37 (3.9 %),35 (3.6 %),174 (18.1 %),0 (0.0 %),0 (0.0 %),4 (0.4 %)
111,Holmdel High School,12-Sep,937,10.6,4.50%,59.2,86,-25,Public,36 Crawfords Corner Road,Holmdel,7733,Monmouth,Holmdel Township School District,No,(n/a),No,Yes,(732) 946-1832,88,687 (73.3 %),9 (1.0 %),42 (4.5 %),156 (16.6 %),0 (0.0 %),0 (0.0 %),43 (4.6 %)
112,Toms River High School North,12-Sep,"2,254",14,24.50%,58.7,67,-45,Public,1245 Old Freehold Road,Toms River,8753,Ocean,Toms River Regional School District,No,(n/a),No,No,(732) 505-5702,161,1688 (74.9 %),120 (5.3 %),245 (10.9 %),162 (7.2 %),3 (0.1 %),7 (0.3 %),29 (1.3 %)
113,Emerson Junior Senior High,12-Jul,558,11.3,7.70%,58.7,101,-12,Public,131 Main Street,Emerson,7630,Bergen,Emerson Public School District,No,(n/a),No,Yes,(201) 262-4447,49,443 (79.4 %),6 (1.1 %),47 (8.4 %),52 (9.3 %),0 (0.0 %),0 (0.0 %),10 (1.8 %)
114,Monmouth Regional High School,12-Sep,"1,008",11.2,29.80%,58.2,256,142,Public,One Norman J Field Way,Tinton Falls,7724,Monmouth,Monmouth Regional High School District,No,(n/a),No,Yes,(732) 542-1170,90,531 (52.7 %),189 (18.8 %),176 (17.5 %),66 (6.5 %),1 (0.1 %),2 (0.2 %),43 (4.3 %)
115,Pascack Valley High School,12-Sep,"1,224",12.7,2.50%,58,96,-19,Public,200 Piermont Ave,Hillsdale,7642,Bergen,Pascack Valley Regional High School District,No,(n/a),No,Yes,(201) 358-7060,96,1049 (85.7 %),8 (0.7 %),74 (6.0 %),87 (7.1 %),0 (0.0 %),0 (0.0 %),6 (0.5 %)
116,Parsippany Hills High School,12-Sep,"1,050",10.9,13.80%,57.6,59,-57,Public,20 Rita Drive,Morris Plains,7950,Morris,Parsippany-Troy Hills Township School District,No,(n/a),No,No,(973) 682-2815,96,510 (48.6 %),27 (2.6 %),121 (11.5 %),374 (35.6 %),1 (0.1 %),0 (0.0 %),17 (1.6 %)
117,Ridgefield Park Junior Senior High School,12-Jul,"1,273",13.1,40.20%,57.3,73,-44,Public,1 Ozzie Nelson Drive,Ridgefield Park,7660,Bergen,Ridgefield Park School District,No,(n/a),No,No,(201) 440-1440,97,365 (28.7 %),74 (5.8 %),667 (52.4 %),165 (13.0 %),1 (0.1 %),1 (0.1 %),0 (0.0 %)
118,Lakeland Regional High School,12-Sep,959,10,13.20%,57.2,190,72,Public,205 Conklintown Road,Wanaque,7465,Passaic,Lakeland Regional High School District,No,(n/a),No,Yes,(973) 835-1900,95,724 (75.5 %),23 (2.4 %),130 (13.6 %),44 (4.6 %),18 (1.9 %),0 (0.0 %),20 (2.1 %)
119,West Morris Mendham High School,12-Sep,"1,334",12.9,1.00%,57,40,-79,Public,65 East Main Street,Mendham,7945,Morris,West Morris Regional High School District,No,(n/a),No,No,(973) 543-2501,103,1142 (85.6 %),13 (1.0 %),76 (5.7 %),84 (6.3 %),3 (0.2 %),1 (0.1 %),15 (1.1 %)
120,Southern Regional High School,12-Sep,"2,045",13.5,22.10%,56.7,157,37,Public,90 Cedar Bridge Road,Manahawkin,8050,Ocean,Southern Regional School District,No,(n/a),No,Yes,(609) 597-9481,151,1861 (91.0 %),39 (1.9 %),117 (5.7 %),21 (1.0 %),1 (0.0 %),3 (0.1 %),3 (0.1 %)
121,Lenape High School,12-Sep,"1,768",11.7,15.50%,56.5,137,16,Public,235 Hartford Road,Medford,8055,Burlington,Lenape Regional High School District,No,(n/a),No,Yes,(609) 654-5111,150,1172 (66.3 %),306 (17.3 %),96 (5.4 %),185 (10.5 %),5 (0.3 %),4 (0.2 %),0 (0.0 %)
122,Glen Rock High School,12-Sep,746,10.5,1.10%,56.4,237,115,Public,400 Hamilton Avenue,Glen Rock,7452,Bergen,Glen Rock Public School District,No,(n/a),No,No,(201) 445-7700,71,642 (86.1 %),7 (0.9 %),20 (2.7 %),65 (8.7 %),1 (0.1 %),0 (0.0 %),11 (1.5 %)
123,Cinnaminson High School,12-Sep,781,11.8,13.70%,56.1,122,-1,Public,1197 Riverton Road,Cinnaminson,8077,Burlington,Cinnaminson Township Public Schools,No,(n/a),No,Yes,(856) 829-7770,66,621 (79.5 %),73 (9.3 %),39 (5.0 %),25 (3.2 %),2 (0.3 %),1 (0.1 %),20 (2.6 %)
124,Midland Park Junior/Senior High School,12-Jul,464,10.7,7.30%,56,119,-5,Public,250 Prospect St,Midland Park,7432,Bergen,Midland Park School District,No,(n/a),No,Yes,(201) 444-7400,43,380 (81.9 %),5 (1.1 %),53 (11.4 %),23 (5.0 %),0 (0.0 %),2 (0.4 %),1 (0.2 %)
125,Spotswood High School,12-Sep,760,12.2,12.80%,55.6,166,41,Public,105 Summerhill Road,Spotswood,8884,Middlesex,Spotswood Public School District,No,(n/a),No,No,(732) 723-2200,62,604 (79.5 %),23 (3.0 %),93 (12.2 %),30 (3.9 %),0 (0.0 %),0 (0.0 %),10 (1.3 %)
126,Moorestown High School,12-Sep,"1,338",12.2,8.70%,55.5,38,-88,Public,350 Bridgeboro Road,Moorestown,8057,Burlington,Moorestown Township Public School District,No,(n/a),No,No,(856) 778-6610,109,1017 (76.0 %),90 (6.7 %),69 (5.2 %),135 (10.1 %),3 (0.2 %),2 (0.1 %),22 (1.6 %)
127,Union County TEAMS Charter School,K-12,381,14.1,72.20%,55,295,168,"Public, Charter, Alternative",515 517 West Fourth Street,Plainfield,7060,Union,Union County Teams Charter School-High School/College La,Yes,(n/a),No,Yes,(908) 754-9043,27,2 (0.5 %),274 (71.9 %),102 (26.8 %),0 (0.0 %),0 (0.0 %),0 (0.0 %),3 (0.8 %)
128,Rancocas Valley Regional High School,12-Sep,"2,061",15.2,26.20%,54.9,249,121,Public,520 Jacksonville Road,Mount Holly,8060,Burlington,Rancocas Valley Regional High School District,No,(n/a),No,Yes,(609) 267-0830,135,1153 (55.9 %),601 (29.2 %),181 (8.8 %),108 (5.2 %),7 (0.3 %),10 (0.5 %),1 (0.0 %)
129,Somerset County Vocational Technical High School,12-Sep,360,6.2,25.80%,54.8,99,-30,Public,14 Vogt Drive,Bridgewater,8807,Somerset,Somerset County Vocational And Technical Schools,No,(n/a),No,Yes,(908) 526-8900,58,182 (50.6 %),26 (7.2 %),78 (21.7 %),67 (18.6 %),0 (0.0 %),2 (0.6 %),5 (1.4 %)
130,Phillipsburg High School,12-Sep,"1,637",13.3,31.30%,54.8,83,-47,Public,1 Liner Lane,Phillipsburg,8865,Warren,Phillipsburg School District,No,(n/a),No,No,(908) 454-6551,123,1160 (70.9 %),198 (12.1 %),187 (11.4 %),65 (4.0 %),2 (0.1 %),1 (0.1 %),24 (1.5 %)
131,Secaucus High School,12-Sep,566,11.3,34.50%,54.6,94,-37,Public,11 Mill Ridge Road,Secaucus,7094,Hudson,Secaucus Board Of Education,No,(n/a),No,Yes,(201) 974-2033,50,248 (43.8 %),17 (3.0 %),164 (29.0 %),132 (23.3 %),1 (0.2 %),3 (0.5 %),1 (0.2 %)
132,Montville Township High School,12-Sep,"1,212",9.8,2.10%,53.8,110,-22,Public,100 Horseneck Road,Montville,7045,Morris,Montville Township School District,No,(n/a),No,No,(973) 331-7100,123,872 (71.9 %),20 (1.7 %),51 (4.2 %),257 (21.2 %),3 (0.2 %),6 (0.5 %),3 (0.2 %)
133,Franklin High School,12-Sep,"2,157",12.3,43.60%,53.7,211,78,Public,500 Elizabeth Avenue,Somerset,8873,Somerset,Franklin Township Public School District,No,(n/a),No,No,(732) 302-4200,174,303 (14.0 %),913 (42.3 %),623 (28.9 %),301 (14.0 %),4 (0.2 %),3 (0.1 %),10 (0.5 %)
134,Sparta High School,12-Sep,"1,122",11.5,4.90%,53.7,271,137,Public,70 West Mountain Road,Sparta,7871,Sussex,Sparta Township Public School District,No,(n/a),No,Yes,(973) 729-6191,97,1003 (89.4 %),19 (1.7 %),50 (4.5 %),49 (4.4 %),0 (0.0 %),1 (0.1 %),0 (0.0 %)
135,Freehold Borough High School,12-Sep,"1,478",13.4,24.70%,53.6,100,-35,Public,2 Robertsville Road,Freehold,7728,Monmouth,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8360,110,857 (58.0 %),130 (8.8 %),343 (23.2 %),142 (9.6 %),0 (0.0 %),2 (0.1 %),4 (0.3 %)
136,Morris Knolls High School,12-Sep,"1,557",11.6,9.10%,53.6,107,-29,Public,50 Knoll Drive,Denville,7834,Morris,Morris Hills Regional School District,No,(n/a),No,No,(973) 664-2201,134,1254 (80.5 %),49 (3.1 %),155 (10.0 %),85 (5.5 %),1 (0.1 %),1 (0.1 %),12 (0.8 %)
137,Old Bridge High School,12-Sep,"2,946",13.3,26.20%,53.6,127,-10,Public,4209 Route 516,Matawan,7747,Monmouth,Old Bridge Township School District,No,(n/a),No,No,(732) 290-3900,220,1813 (61.5 %),257 (8.7 %),372 (12.6 %),493 (16.7 %),1 (0.0 %),0 (0.0 %),10 (0.3 %)
138,Cresskill High School,12-Sep,542,9.3,3.70%,53.4,140,2,Public,1 Lincoln Dr,Cresskill,7626,Bergen,Cresskill Public School District,No,(n/a),No,No,(201) 227-7791,58,325 (60.0 %),3 (0.6 %),45 (8.3 %),164 (30.3 %),1 (0.2 %),1 (0.2 %),3 (0.6 %)
139,Union City High School,12-Sep,"2,723",15.2,83.80%,52.9,115,-24,Public,2500 Kennedy Blvd,Union City,7087,Hudson,Union City School District,No,(n/a),No,Yes,(201) 330-8678,178,43 (1.6 %),25 (0.9 %),2618 (96.1 %),35 (1.3 %),0 (0.0 %),1 (0.0 %),1 (0.0 %)
140,Henry Hudson Regional School,12-Jul,299,8.5,31.80%,52.9,108,-32,Public,1 Grand Tour,Highlands,7732,Monmouth,Henry Hudson Regional School District,No,(n/a),No,Yes,(732) 872-0900,35,249 (83.3 %),11 (3.7 %),20 (6.7 %),10 (3.3 %),0 (0.0 %),2 (0.7 %),7 (2.3 %)
141,Hasbrouck Heights High School,12-Sep,577,13.7,17.90%,52.9,218,77,Public,365 Boulevard,Hasbrouck Heights,7604,Bergen,Hasbrouck Heights School District,No,(n/a),No,No,(201) 288-6150,42,343 (59.4 %),17 (2.9 %),121 (21.0 %),92 (15.9 %),1 (0.2 %),0 (0.0 %),3 (0.5 %)
142,Newton High School,12-Sep,760,11.1,20.40%,52.8,172,30,Public,44 Ryerson Avenue,Newton,7860,Sussex,Newton Public School District,No,(n/a),No,Yes,(973) 383-7573,68,628 (82.6 %),30 (3.9 %),77 (10.1 %),15 (2.0 %),0 (0.0 %),5 (0.7 %),5 (0.7 %)
143,Highland Park High School,12-Sep,497,12.1,32.60%,52.1,93,-50,Public,102 North Fifth Avenue,Highland Park,8904,Middlesex,Highland Park Boro School District,No,(n/a),No,Yes,(732) 572-2400,41,202 (40.6 %),49 (9.9 %),117 (23.5 %),111 (22.3 %),0 (0.0 %),0 (0.0 %),18 (3.6 %)
144,Point Pleasant Borough High School,12-Sep,902,11.4,15.60%,51.9,183,39,Public,Laura Herbert Dr,Point Pleasant Beach,8742,Ocean,Point Pleasant Borough School District,No,(n/a),No,No,(732) 701-1900,79,819 (90.8 %),11 (1.2 %),52 (5.8 %),1 (0.1 %),2 (0.2 %),16 (1.8 %),1 (0.1 %)
145,High Point Regional High School,12-Sep,981,10.7,17.30%,51.7,123,-22,Public,299 Pidgeon Hill Road,Sussex,7461,Sussex,High Point Regional High School District,No,(n/a),No,Yes,(973) 875-3101,91,881 (89.8 %),20 (2.0 %),63 (6.4 %),15 (1.5 %),0 (0.0 %),1 (0.1 %),1 (0.1 %)
146,Florence Township Memorial High School,12-Sep,419,14.9,30.30%,51.5,192,46,Public,1050 Cedar Lane,Florence,8518,Burlington,Florence Township School District,No,(n/a),No,Yes,(609) 499-4620,28,250 (59.7 %),106 (25.3 %),30 (7.2 %),33 (7.9 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
147,Lenape Valley Regional High School,12-Sep,812,13.5,9.70%,51.4,275,128,Public,28 Sparta Road,Stanhope,7874,Sussex,Lenape Valley Regional High School District,No,(n/a),No,Yes,(973) 347-7600,60,682 (84.0 %),28 (3.4 %),70 (8.6 %),26 (3.2 %),4 (0.5 %),2 (0.2 %),0 (0.0 %)
148,Weehawken High School,12-Jul,538,11.2,57.40%,51.3,189,41,Public,53 Liberty Place,Weehawken,7086,Hudson,Weehawken Public School District,No,(n/a),No,Yes,(201) 422-6130,48,118 (21.9 %),22 (4.1 %),368 (68.4 %),24 (4.5 %),1 (0.2 %),0 (0.0 %),5 (0.9 %)
149,Absegami High School,12-Sep,"1,340",11.7,44.60%,51.2,182,33,Public,201 S Wrangleboro Road,Galloway,8205,Atlantic,Greater Egg Harbor Regional High School District,No,(n/a),No,Yes,(609) 652-1372,114,629 (46.9 %),242 (18.1 %),247 (18.4 %),203 (15.1 %),1 (0.1 %),4 (0.3 %),14 (1.0 %)
150,South Brunswick High School,12-Sep,"2,915",14.8,11.50%,50.9,202,52,Public,750 Ridge Road,Monmouth Junction,8852,Middlesex,South Brunswick School District,No,(n/a),No,No,(732) 329-4044,196,971 (33.3 %),305 (10.5 %),206 (7.1 %),1381 (47.4 %),1 (0.0 %),1 (0.0 %),50 (1.7 %)
151,Shawnee High School,12-Sep,"1,582",12.4,6.50%,50.9,147,-4,Public,600 Tabernacle Road,Medford,8055,Burlington,Lenape Regional High School District,No,(n/a),No,No,(609) 654-7544,127,1444 (91.3 %),29 (1.8 %),54 (3.4 %),52 (3.3 %),2 (0.1 %),0 (0.0 %),1 (0.1 %)
152,Jefferson Township High School,12-Sep,"1,021",11.8,10.10%,50.8,232,80,Public,1010 Weldon Rd Rd2,Oak Ridge,7438,Passaic,Jefferson Township Public School District,No,(n/a),No,Yes,(973) 697-3535,86,888 (87.0 %),12 (1.2 %),70 (6.9 %),39 (3.8 %),3 (0.3 %),0 (0.0 %),9 (0.9 %)
153,Cranford High School,12-Sep,"1,187",11,2.70%,50.8,221,68,Public,201 West End Place,Cranford,7016,Union,Cranford Public School District,No,(n/a),No,No,(908) 709-6272,107,1017 (85.7 %),53 (4.5 %),78 (6.6 %),37 (3.1 %),0 (0.0 %),0 (0.0 %),2 (0.2 %)
154,Dwight Morrow High School/Academies@Englewood,12-Sep,"1,067",10.7,50.60%,50.8,170,16,Public,274 Knickerbocker Rd,Englewood,7631,Bergen,Englewood Public School District,No,(n/a),No,Yes,(201) 862-6039,99,102 (9.6 %),403 (37.8 %),373 (35.0 %),176 (16.5 %),1 (0.1 %),4 (0.4 %),8 (0.7 %)
155,Toms River High School East,12-Sep,"1,439",12.2,21.50%,50.7,125,-30,Public,1225 Raider Way,Toms River,8753,Ocean,Toms River Regional School District,No,(n/a),No,No,(732) 505-5665,117,1226 (85.2 %),37 (2.6 %),119 (8.3 %),45 (3.1 %),1 (0.1 %),0 (0.0 %),11 (0.8 %)
156,Alexander Hamilton Preparatory Academy,12-Sep,989,13.7,84.30%,50.5,185,29,Public,310 Cherry St,Elizabeth,7208,Union,Elizabeth Public Schools,No,(n/a),No,Yes,(908) 436-6100,72,72 (7.3 %),178 (18.0 %),723 (73.1 %),16 (1.6 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
157,Somerville High School,12-Sep,"1,177",12.7,15.70%,50.5,331,174,Public,222 Davenport St,Somerville,8876,Somerset,Somerville Public School District,No,(n/a),No,No,(908) 218-4108,92,793 (67.4 %),94 (8.0 %),192 (16.3 %),90 (7.6 %),0 (0.0 %),5 (0.4 %),3 (0.3 %)
158,Collingswood High School,12-Sep,728,11.3,47.00%,50.4,156,-2,Public,424 Collings Ave,Collingswood,8108,Camden,Collingswood Public School District,No,(n/a),No,Yes,(856) 962-5701,64,372 (51.1 %),153 (21.0 %),142 (19.5 %),39 (5.4 %),2 (0.3 %),0 (0.0 %),20 (2.7 %)
159,Pequannock Township High School,12-Sep,722,11.1,5.70%,50.1,66,-93,Public,85 Sunset Road,Pompton Plains,7444,Morris,Pequannock Township School District,No,(n/a),No,Yes,(973) 616-6000,65,663 (91.8 %),9 (1.2 %),37 (5.1 %),10 (1.4 %),0 (0.0 %),1 (0.1 %),2 (0.3 %)
160,Roselle Park High School,12-Sep,618,11.2,44.20%,50,293,133,Public,185 W Webster Ave,Roselle Park,7204,Union,Roselle Park Board Of Education,No,(n/a),No,Yes,(908) 241-4550,55,223 (36.1 %),74 (12.0 %),283 (45.8 %),31 (5.0 %),1 (0.2 %),3 (0.5 %),3 (0.5 %)
161,Nutley High School,12-Sep,"1,253",13.9,14.40%,50,178,17,Public,300 Franklin Ave,Nutley,7110,Essex,Nutley Public School District,No,(n/a),No,Yes,(973) 661-8824,90,878 (70.1 %),24 (1.9 %),213 (17.0 %),131 (10.5 %),0 (0.0 %),1 (0.1 %),6 (0.5 %)
162,Kingsway Regional High School,12-Sep,"1,691",14,13.30%,49.7,145,-17,Public,201 Kings Highway,Woolwich Twp,8085,Gloucester,Kingsway Regional School District,No,(n/a),No,Yes,(856) 467-3300,120,1281 (75.8 %),218 (12.9 %),96 (5.7 %),66 (3.9 %),0 (0.0 %),0 (0.0 %),30 (1.8 %)
163,Wallington Junior Senior High School,12-Jul,537,13.4,33.50%,49.6,186,23,Public,234 Main Ave,Wallington,7057,Bergen,Wallington Boro School District,No,(n/a),No,No,(973) 777-0808,40,389 (72.4 %),13 (2.4 %),114 (21.2 %),18 (3.4 %),0 (0.0 %),0 (0.0 %),3 (0.6 %)
164,James Caldwell High School,12-Sep,801,10.9,5.00%,49.1,152,-12,Public,265 Westville Ave,West Caldwell,7006,Essex,Caldwell-West Caldwell School District,No,(n/a),No,No,(973) 228-6981,73,675 (84.3 %),11 (1.4 %),70 (8.7 %),42 (5.2 %),0 (0.0 %),2 (0.2 %),1 (0.1 %)
165,New Egypt High School,12-Sep,534,12.4,21.20%,49.1,270,105,Public,117 Evergreen Road,New Egypt,8533,Ocean,Plumsted Township School District,No,(n/a),No,Yes,(609) 758-6800,43,474 (88.8 %),18 (3.4 %),38 (7.1 %),3 (0.6 %),1 (0.2 %),0 (0.0 %),0 (0.0 %)
166,Bergen Arts And Sciences Charter School,K-12,969,12.4,48.00%,48.8,34,-132,"Public, Charter, Alternative",200 MacArthur Avenue,Garfield,7026,Bergen,Bergen Arts And Science Charter School,Yes,(n/a),No,No,(201) 773-9140,78,367 (37.9 %),108 (11.1 %),405 (41.8 %),78 (8.0 %),0 (0.0 %),0 (0.0 %),11 (1.1 %)
167,Arthur L. Johnson High School,12-Sep,769,12,7.40%,48.8,262,95,Public,365 Westfield Avenue,Clark,7066,Union,Clark Township Public Schools,No,(n/a),No,No,(732) 382-0910,64,680 (88.4 %),10 (1.3 %),57 (7.4 %),17 (2.2 %),0 (0.0 %),5 (0.7 %),0 (0.0 %)
